,Accession Planting,Status,Inventory Year,_merge
0,2014-0302-01-1,Dead,2014,left_only
1,2012-0254-01-9,Dead,2014,left_only
2,2012-0065-01-50,Dead,2014,left_only
3,2008-0149-01-1,Dead,2014,left_only
4,1987-0156-01-7,Dead,2014,left_only
5,2012-0315-01-42,Dead,2015,left_only
6,2013-0013-01-5,Dead,2015,left_only
7,1990-0214-01-5,Dead,2015,left_only
8,2013-0063-01-38,Dead,2015,left_only
9,1980-0278-01-2,Dead,2015,left_only
10,2013-0064-01-5,Dead,2015,left_only
11,2013-1093-01-2,Dead,2015,left_only
12,1966-8304-01-1,Dead,2015,left_only
13,1990-0886-01-1,Dead,2015,left_only
14,2013-0063-01-18,Dead,2015,left_only
15,2012-0315-01-21,Dead,2015,left_only
16,2012-0314-01-44,Dead,2015,left_only
17,2012-0254-01-6,Dead,2015,left_only
18,2012-0065-01-59,Dead,2015,left_only
19,2012-0280-01-11,Dead,2015,left_only
20,2012-0065-01-97,Dead,2015,left_only
21,1987-0156-01-4,Dead,2015,left_only
22,2012-0254-01-28,Dead,2015,left_only
23,2012-0065-01-21,Dead,2015,left_only
24,1987-0600-01-2,Dead,2015,left_only
25,2012-0065-01-32,Dead,2015,left_only
44,1985-0254-01-20,Dead,2016,left_only
54,2013-1313-01-1,Dead,2016,left_only
55,2012-0065-01-37,Dead,2016,left_only
56,2012-0214-01-18,Dead,2016,left_only
57,2012-0214-01-50,Dead,2016,left_only
60,2012-0254-01-11,Dead,2016,left_only
62,2012-0065-01-66,Dead,2016,left_only
67,2015-0151-01-10,Dead,2016,left_only
80,2012-0314-01-33,Dead,2017,left_only
81,2012-0312-01-29,Dead,2017,left_only
82,1982-0006-06-11,Dead,2017,left_only
83,1987-0009-01-14,Dead,2017,left_only
87,2015-0152-01-1,Dead,2017,left_only
88,2013-0266-01-1,Dead,2017,left_only
89,1987-0009-01-6,Dead,2017,left_only
90,2013-0266-01-8,Dead,2017,left_only
91,1991-0210-01-14,Dead,2017,left_only
92,1987-0156-01-18,Dead,2017,left_only
93,2012-0280-01-5,Dead,2017,left_only
94,1991-0209-01-3,Dead,2017,left_only
95,2002-0161-01-8,Dead,2017,left_only
96,1978-0542-01-12,Dead,2017,left_only
97,1987-0157-01-4,Dead,2017,left_only
98,2012-0065-01-40,Dead,2017,left_only
99,2012-0065-01-48,Dead,2017,left_only
100,2012-0065-01-38,Dead,2017,left_only
103,2012-0254-01-40,Dead,2017,left_only
104,1985-0254-01-13,Dead,2018,left_only
105,1992-1482-01-1,Dead,2018,left_only
106,2012-0280-01-3,Dead,2018,left_only
107,2016-0042-01-4,Dead,2018,left_only
108,1993-0095-01-1,Dead,2018,left_only
109,2012-0254-01-17,Dead,2018,left_only
110,2012-0315-01-50,Dead,2018,left_only
111,2008-0001-01-23,Dead,2018,left_only
112,2012-0314-01-47,Dead,2018,left_only
113,2012-0214-01-17,Dead,2018,left_only
114,2012-0065-01-64,Dead,2018,left_only
115,2012-0315-01-45,Dead,2018,left_only
116,2008-0001-01-57,Dead,2018,left_only
118,2019-0188-01-12,Dead,2019,left_only
119,1986-0158-01-11,Dead,2019,left_only
120,2018-0026-01-5,Dead,2019,left_only
123,2013-0109-01-1,Dead,2019,left_only
124,2012-0315-01-44,Dead,2019,left_only
125,2012-0214-01-43,Dead,2019,left_only
126,2012-0214-01-29,Dead,2019,left_only
127,2012-0214-01-12,Dead,2019,left_only
128,2012-0065-01-79,Dead,2019,left_only
129,2012-0065-01-12,Dead,2019,left_only
131,2008-0001-01-8,Dead,2019,left_only
135,1990-0886-01-2,Dead,2019,left_only
136,1986-0158-01-6,Dead,2019,left_only
137,1987-0009-01-17,Dead,2019,left_only
138,1987-0009-01-5,Dead,2019,left_only
139,1987-0125-01-1,Dead,2019,left_only
140,1990-0214-01-24,Dead,2019,left_only
141,1987-0156-01-3,Dead,2019,left_only
142,2019-0142-01-2,Dead,2020,left_only
143,2014-0403-01-1,Dead,2020,left_only
144,2014-0149-01-8,Dead,2020,left_only
145,2013-0266-01-10,Dead,2020,left_only
146,2012-0314-01-12,Dead,2020,left_only
147,2012-0315-01-11,Dead,2020,left_only
148,2005-0247-10-0,Dead,2020,left_only
149,2012-0307-01-49,Dead,2020,left_only
150,2012-0254-01-47,Dead,2020,left_only
151,1990-0214-01-3,Dead,2020,left_only
152,1985-0254-01-24,Dead,2020,left_only
153,2012-0065-01-14,Dead,2020,left_only
154,1990-0214-01-6,Dead,2020,left_only
155,2012-0315-01-36,Dead,2020,left_only
156,2012-0065-01-46,Dead,2020,left_only
